input_text,prefix,target_text,group
boss can ,free-cs,page employee,Filling
being tired would make ,free-cs,you want to go to sleep,Mapping
being tired would make ,free-cs,you want to go to bed,Mapping
being lonely would make ,free-cs,you want to meet a friend,Mapping
being lonely would make ,free-cs,you want to have friends over,Mapping
being hungry would make ,free-cs,you want to eat a hamburger,Mapping
being hungry would make ,free-cs,you want to eat an apple,Mapping
being cold would make ,free-cs,you want to get warm,Filling
being cold would make ,free-cs,you want to start a fire,Filling
becoming inebriated requires ,free-cs,alcohol.,Filling
becoming inebriated requires ,free-cs,alcohol,Filling
bathing requires ,free-cs,water.,Filling
bathing requires ,free-cs,a bathtub,Filling
answering questions is for ,free-cs,educating.,Filling
answering questions is for ,free-cs,give information,Filling
animals have ,free-cs,bones,Filling
animals have ,free-cs,fur,Filling
animals can ,free-cs,not talk.,Filling
animals can ,free-cs,drink water,Filling
an island is ,free-cs,a land mass.,Filling
an island is ,free-cs,a piece of land.,Filling
an eye is for ,free-cs,looking,Filling
an eye is for ,free-cs,blinking,Filling
an entranceway is for ,free-cs,going through,Filling
an entranceway is for ,free-cs,entering,Filling
an animal wants ,free-cs,to eat,Filling
an animal wants ,free-cs,to reproduce,Mapping
a writing instrument is used for ,free-cs,making notes,Filling
a writing instrument is used for ,free-cs,writing a letter,Filling
a woodwind is ,free-cs,a type of instrument,Filling
a woodwind is ,free-cs,a type of musical instrument,Filling
a woman is ,free-cs,a female human,Filling
a woman is ,free-cs,a human,Filling
a wings is used for ,free-cs,flying,Filling
a wings is used for ,free-cs,flapping,Filling
a wife can ,free-cs,leave a husband,Mapping
a wife can ,free-cs,surprise her husband,Mapping
a watch is used for ,free-cs,time,Filling
a watch is used for ,free-cs,keeping track of time,Filling
a wash cloth is used for ,free-cs,cleaning.,Filling
a wash cloth is used for ,free-cs,baths,Filling
a voice is for ,free-cs,speaking.,Filling
a voice is for ,free-cs,talking,Mapping
a violin is used for ,free-cs,making music,Filling
a violin is used for ,free-cs,playing music,Filling
a unicycle is ,free-cs,a vehicle.,Filling
a unicycle is ,free-cs,a vehicle.,Filling
a tuba is ,free-cs,a musical instrument.,Filling
a tuba is ,free-cs,a large musical instrument,Filling
a tree can ,free-cs,branch out,Filling
a tree can ,free-cs,grow leaves,Filling
a transit ticket is for ,free-cs,a bus ride,Filling
a transit ticket is for ,free-cs,a subway ride,Filling
a toothbrush is used for ,free-cs,brushing teeth.,Filling
a toothbrush is used for ,free-cs,cleaning your teeth,Filling
a tile is for ,free-cs,covering a wall,Filling
a tile is for ,free-cs,flooring.,Filling
a ticket office is for ,free-cs,buying tickets,Mapping
a ticket office is for ,free-cs,selling a ticket,Mapping
a temple is for ,free-cs,praying,Filling
a temple is for ,free-cs,worshipping,Filling
a sword is for ,free-cs,killing.,Filling
a sword is for ,free-cs,fighting.,Filling
a swimming pool is used for ,free-cs,fun.,Filling
a swimming pool is used for ,free-cs,getting wet.,Filling
a supermarket is used for ,free-cs,getting bananas,Filling
a supermarket is used for ,free-cs,weekly shopping.,Filling
a stapler is used for ,free-cs,attaching papers,Filling
a stapler is used for ,free-cs,office organization.,Filling
a soldier is used for ,free-cs,fighting wars,Filling
a soldier is used for ,free-cs,protecting a country,Filling
a rook is ,free-cs,piece of a chess set,Filling
a rook is ,free-cs,a type of bird.,Filling
a rocking chair is for ,free-cs,sitting in,Filling
a rocking chair is for ,free-cs,sitting down on,Filling
a road is used for ,free-cs,travelers.,Filling
a road is used for ,free-cs,driving,Filling
a restaurant table is for ,free-cs,Eating at,Mapping
a restaurant table is for ,free-cs,dining,Filling
a recipe is ,free-cs,a set of instructions.,Filling
a recipe is ,free-cs,a set of instructions.,Filling
a prostitute can ,free-cs,sell sexual favors,Filling
a prostitute can ,free-cs,spread disease,Filling
a pool is used for ,free-cs,swiming,Filling
a pool is used for ,free-cs,swimming,Filling
a playroom is for ,free-cs,playing,Filling
a playroom is for ,free-cs,having fun,Filling
a plant is ,free-cs,a living thing,Filling
a plant is ,free-cs,alive,Filling
a pistol is ,free-cs,a type of gun,Filling
a pistol is ,free-cs,a weapon,Filling
a pan is used for ,free-cs,cooking,Filling
a pan is used for ,free-cs,frying.,Filling
a notepad is for ,free-cs,writing notes,Filling
a notepad is for ,free-cs,taking notes,Filling
a net is used for ,free-cs,catching fish,Filling
a net is used for ,free-cs,catching butterflies,Filling
a musical instrument is used for ,free-cs,playing music,Filling
a musical instrument is used for ,free-cs,making music,Filling
a mother is used for ,free-cs,love,Filling
a mother is used for ,free-cs,making babies.,Filling
a mother can ,free-cs,care for her child,Filling
a mother can ,free-cs,name a child,Filling
a match can ,free-cs,light candle,Filling
a match can ,free-cs,light a cigarette,Filling
a mast is for ,free-cs,sailing,Filling
a mast is for ,free-cs,a ship,Filling
a mandolin is for ,free-cs,playing music.,Filling
a mandolin is for ,free-cs,making music,Filling
a linen closet is used for ,free-cs,storing towels,Filling
a linen closet is used for ,free-cs,keeping sheets.,Filling
a lake is for ,free-cs,swimming in.,Filling
a lake is for ,free-cs,fishing in.,Filling
a knife is used for ,free-cs,cutting.,Filling
a knife is used for ,free-cs,stabbing.,Filling
a key is used for ,free-cs,opening doors.,Filling
a key is used for ,free-cs,unlocking.,Mapping
a judge can ,free-cs,right a wrong,Mapping
a judge can ,free-cs,right wrongs,Mapping
a hurricane is ,free-cs,a storm.,Filling
a hurricane is ,free-cs,a storm.,Filling
a human can ,free-cs,think something,Filling
a human can ,free-cs,not breath in space,Filling
a hose is for ,free-cs,watering the garden,Filling
a hose is for ,free-cs,watering the lawn.,Filling
a high rise is ,free-cs,a type of building,Filling
a high rise is ,free-cs,a very tall building,Filling
a harp is ,free-cs,an instrument,Filling
a harp is ,free-cs,a musical instrument,Filling
a hammer is used for ,free-cs,driving nails,Filling
a hammer is used for ,free-cs,pounding nails,Filling
a gun is ,free-cs,a type of weapon,Filling
a gun is ,free-cs,a type of firearm,Filling
a group is ,free-cs,a set.,Filling
a group is ,free-cs,a set.,Filling
a grill is used for ,free-cs,cooking food,Filling
a grill is used for ,free-cs,barbecue,Filling
a goldfish is ,free-cs,a carp.,Filling
a goldfish is ,free-cs,a carp.,Filling
a glass is for ,free-cs,drinking,Filling
a glass is for ,free-cs,holding liquid,Filling
a general can ,free-cs,lead an army,Filling
a general can ,free-cs,lead troops,Filling
a foot is for ,free-cs,Walking on.,Filling
a foot is for ,free-cs,standing,Filling
a farmer can ,free-cs,farm corn,Filling
a farmer can ,free-cs,gather his crops,Mapping
a fan is used for ,free-cs,moving air,Filling
a fan is used for ,free-cs,circulating air.,Filling
a drill is used for ,free-cs,making holes,Filling
a drill is used for ,free-cs,drilling holes in things.,Filling
a dressing room is for ,free-cs,changing your clothes,Mapping
a dressing room is for ,free-cs,privacy,Filling
a dog wants ,free-cs,a bone.,Filling
a dog wants ,free-cs,affection,Filling
a dog is used for ,free-cs,companionship.,Filling
a dog is used for ,free-cs,guarding property.,Filling
a doctor can ,free-cs,save lives,Mapping
a doctor can ,free-cs,help a sick person,Filling
a desk is ,free-cs,a furniture,Filling
a desk is ,free-cs,a type of table,Filling
a cubicle is used for ,free-cs,office work.,Filling
a cubicle is used for ,free-cs,privacy.,Filling
a couple can ,free-cs,row about anything,Filling
a couple can ,free-cs,tie the knot,Mapping
a couch is for ,free-cs,sitting on it,Filling
a couch is for ,free-cs,sleeping,Filling
a container is used for ,free-cs,holding something,Filling
a container is used for ,free-cs,storing things,Filling
a comb is used for ,free-cs,grooming,Filling
a comb is used for ,free-cs,hair,Filling
a club is for ,free-cs,hitting something,Filling
a club is for ,free-cs,dance,Filling
a cloud is made of ,free-cs,water vapor,Filling
a cloud is made of ,free-cs,water,Filling
a clothing closet is for ,free-cs,storing clothes,Filling
a clothing closet is for ,free-cs,hanging up your clothes,Filling
a child is ,free-cs,a young human,Filling
a child is ,free-cs,a person.,Filling
a checkbook holder is used for ,free-cs,holding a checkbook.,Filling
a checkbook holder is used for ,free-cs,holding checks.,Filling
a check in counter is for ,free-cs,checking in,Filling
a check in counter is for ,free-cs,checking out,Filling
a chapel is for ,free-cs,worshipping,Filling
a chapel is for ,free-cs,getting married,Filling
a cereal bowl is used for ,free-cs,eat cereal,Filling
a cereal bowl is used for ,free-cs,eating cereal,Filling
a cat can ,free-cs,drink water,Filling
a cat can ,free-cs,look at a king.,Filling
a can is ,free-cs,a kind of container,Filling
a can is ,free-cs,a container,Filling
a bucket is ,free-cs,a container.,Filling
a bucket is ,free-cs,a container.,Filling
a box is for ,free-cs,storing something in,Filling
a box is for ,free-cs,storage.,Filling
a book is used for ,free-cs,learning,Filling
a book is used for ,free-cs,entertainment.,Filling
a bomb is used for ,free-cs,blowing things up.,Filling
a bomb is used for ,free-cs,destroying things,Filling
a bomb is for ,free-cs,terror,Filling
a bomb is for ,free-cs,blowing up a building,Filling
a boat is used for ,free-cs,floating on water,Filling
a boat is used for ,free-cs,travel,Filling
a boat is for ,free-cs,travel on water.,Mapping
a boat is for ,free-cs,fishing.,Filling
a birthday would make ,free-cs,you want to surprise someone,Mapping
a birthday would make ,free-cs,you want to bake a cake,Mapping
a bicycle is for ,free-cs,Riding,Mapping
a bicycle is for ,free-cs,Racing,Filling
a bedroom is for ,free-cs,sleeping,Filling
a bedroom is for ,free-cs,having sex,Filling
a bed is for ,free-cs,Resting on,Filling
a bed is for ,free-cs,fucking in,Filling
a beanie baby is ,free-cs,a toy,Filling
a beanie baby is ,free-cs,a toy.,Filling
a bean bag chair is for ,free-cs,sitting on.,Filling
a bean bag chair is for ,free-cs,relaxation.,Filling
a bathroom is for ,free-cs,taking a bath,Filling
a bathroom is for ,free-cs,taking a shower,Filling
a bat is for ,free-cs,hitting a ball,Filling
a bat is for ,free-cs,baseball,Filling
a baseball is for ,free-cs,playing baseball,Filling
a baseball is for ,free-cs,throwing.,Filling
a baby is ,free-cs,a very young child,Filling
a baby is ,free-cs,a person.,Filling
You would write a letter because you want ,free-cs,comunicate,Mapping
You would write a letter because you want ,free-cs,to communicate with someone.,Mapping
You would work because you want ,free-cs,money.,Filling
You would work because you want ,free-cs,to earn money,Mapping
You would walk because you want ,free-cs,some exercise,Mapping
You would walk because you want ,free-cs,to move to another location,Mapping
You would wait tables because you want ,free-cs,make money,Mapping
You would wait tables because you want ,free-cs,make money,Mapping
You would visit other countries because you want ,free-cs,vacation,Mapping
You would visit other countries because you want ,free-cs,to travel.,Mapping
You would take a bath because you want ,free-cs,to relax.,Mapping
You would take a bath because you want ,free-cs,to clean yourself.,Mapping
You would sit down because ,free-cs,your legs are tired,Mapping
You would sit down because ,free-cs,your legs are tired,Mapping
You would run because you want ,free-cs,exercise,Mapping
You would run because you want ,free-cs,to get away from someone,Mapping
You would read because you want ,free-cs,learn,Mapping
You would read because you want ,free-cs,to learn.,Mapping
You would read a magazine because you are ,free-cs,bored.,Filling
You would read a magazine because you are ,free-cs,bored,Mapping
You would punch someone because you want ,free-cs,to hurt them,Mapping
You would punch someone because you want ,free-cs,to hurt them,Mapping
You would play games because you want ,free-cs,to relax.,Mapping
You would play games because you want ,free-cs,to win.,Filling
You would play because you want ,free-cs,to have some fun,Mapping
You would play because you want ,free-cs,to have some fun,Mapping
You would make bread because you want ,free-cs,eat bread,Mapping
You would make bread because you want ,free-cs,to eat some bread.,Mapping
You would kiss your boyfriend because ,free-cs,you love her,Mapping
You would kiss your boyfriend because ,free-cs,you love him,Mapping
You would kiss someone because you want ,free-cs,to express that you love them,Mapping
You would kiss someone because you want ,free-cs,to express love,Mapping
You would kill because you want ,free-cs,revenge,Mapping
You would kill because you want ,free-cs,to defend yourself.,Mapping
You would go to sleep because you want ,free-cs,to rest up,Mapping
You would go to sleep because you want ,free-cs,to rest up,Mapping
You would go to a performance because you want  ,free-cs,entertainment,Mapping
You would go to a performance because you want  ,free-cs,entertainment,Mapping
You would go to a laundromat because you want ,free-cs,to clean your clothes.,Mapping
You would go to a laundromat because you want ,free-cs,to wash your clothes,Mapping
You would go for a run because you want ,free-cs,to excercise,Mapping
You would go for a run because you want ,free-cs,to exercise.,Mapping
You would fight inflation because you want ,free-cs,to save some money,Mapping
You would fight inflation because you want ,free-cs,to save some money,Mapping
You would examine a thing because you want ,free-cs,to learn more about it.,Mapping
You would examine a thing because you want ,free-cs,understand it,Mapping
You would drive your car because you want ,free-cs,get somewhere,Mapping
You would drive your car because you want ,free-cs,to get somewhere,Mapping
You would do some exercises because you want ,free-cs,to stay in shape.,Mapping
You would do some exercises because you want ,free-cs,to get in shape,Mapping
You would cook dinner because you want ,free-cs,to eat it,Mapping
You would cook dinner because you want ,free-cs,to eat it,Mapping
You would climb a mountain because you want ,free-cs,to get to the top.,Mapping
You would climb a mountain because you want ,free-cs,to see the top,Mapping
You would clean your clothes because you want ,free-cs,to smell good,Mapping
You would clean your clothes because you want ,free-cs,to smell good,Mapping
You would bungee jump from a high bridge because you want ,free-cs,be excited,Mapping
You would bungee jump from a high bridge because you want ,free-cs,excitement.,Mapping
You would bring home some fish because you want ,free-cs,to eat it.,Mapping
You would bring home some fish because you want ,free-cs,to cook fish,Mapping
You would breathe because you want ,free-cs,live,Filling
You would breathe because you want ,free-cs,to live.,Filling
You can use god to justify ,free-cs,war,Mapping
You can use god to justify ,free-cs,hate,Mapping
You can use an Italian restaurant to ,free-cs,eat italian food,Filling
You can use an Italian restaurant to ,free-cs,eat spaghetti,Filling
You can use a writing instrument to ,free-cs,scribble.,Filling
You can use a writing instrument to ,free-cs,write a note,Mapping
You can use a window curtain to decorate ,free-cs,a window.,Mapping
You can use a window curtain to decorate ,free-cs,a window.,Mapping
You can use a radio to ,free-cs,listen to music.,Filling
You can use a radio to ,free-cs,listen to news.,Filling
You can use a purse to ,free-cs,hold money,Mapping
You can use a purse to ,free-cs,carry your money,Mapping
You can use a museum ticket to ,free-cs,enter a museum,Mapping
You can use a museum ticket to ,free-cs,get into a museum,Mapping
You can use a key chain to ,free-cs,keep keys together,Mapping
You can use a key chain to ,free-cs,hold your keys.,Mapping
You can use a hide-a-bed sofa to ,free-cs,sleep guests.,Filling
You can use a hide-a-bed sofa to ,free-cs,sleep guests.,Filling
You can use a dining table to ,free-cs,eat,Mapping
You can use a dining table to ,free-cs,eat dinner,Mapping
You can ,free-cs,use an organ to play music,Filling
You can ,free-cs,use an oboe to play music,Filling
You are ,free-cs,likely to find a human in town,Mapping
You are ,free-cs,likely to find a human in bed,Filling
Words can ,free-cs,mean things.,Filling
Words can ,free-cs,hurt feelings,Filling
Wood can ,free-cs,float on water.,Filling
Wood can ,free-cs,burn.,Filling
Water can ,free-cs,thin paint,Filling
Water can ,free-cs,fill a bucket.,Filling
Vegetables are ,free-cs,food.,Filling
Vegetables are ,free-cs,green,Filling
Uranus is ,free-cs,a planet,Filling
Uranus is ,free-cs,a planet.,Filling
U2 is ,free-cs,a band.,Mapping
U2 is ,free-cs,a band.,Mapping
There is ,free-cs,food at the grocery store.,Filling
There is ,free-cs,no proof of a God.,Filling
The world is ,free-cs,diverse,Filling
The world is ,free-cs,a big place,Mapping
The ocean is ,free-cs,salty.,Filling
The ocean is ,free-cs,blue,Filling
The last thing you do when you pay cash is ,free-cs,get your change,Mapping
The last thing you do when you pay cash is ,free-cs,get a receipt,Mapping
The last thing you do when you listen to the radio is ,free-cs,turning off the radio.,Mapping
The last thing you do when you listen to the radio is ,free-cs,turn the radio off.,Mapping
The last thing you do when you commit suicide is ,free-cs,to die,Mapping
The last thing you do when you commit suicide is ,free-cs,die,Mapping
The effect of watching a tv show is ,free-cs,laughter,Mapping
The effect of watching a tv show is ,free-cs,entertainment,Filling
The effect of waiting in line is ,free-cs,frustration,Filling
The effect of waiting in line is ,free-cs,getting impatient,Mapping
The effect of urinating is ,free-cs,relief.,Filling
The effect of urinating is ,free-cs,emptying the bladder,Filling
The effect of taking a bath is ,free-cs,to get wet,Mapping
The effect of taking a bath is ,free-cs,to get clean,Mapping
The effect of smoking is ,free-cs,lung cancer.,Filling
The effect of smoking is ,free-cs,cancer.,Filling
The effect of shopping is ,free-cs,spending your money,Mapping
The effect of shopping is ,free-cs,spending your money,Mapping
The effect of seeing your favorite show is ,free-cs,laughing,Mapping
The effect of seeing your favorite show is ,free-cs,pleasure.,Filling
The effect of punching someone is ,free-cs,a fight,Mapping
The effect of punching someone is ,free-cs,pain for them,Filling
The effect of playing the piano is ,free-cs,music,Mapping
The effect of playing the piano is ,free-cs,to make music.,Filling
The effect of playing poker is ,free-cs,winning money,Filling
The effect of playing poker is ,free-cs,losing money,Mapping
The effect of jumping out of a window is ,free-cs,falling,Filling
The effect of jumping out of a window is ,free-cs,death,Mapping
The effect of having a shower is ,free-cs,getting clean,Mapping
The effect of having a shower is ,free-cs,feeling clean,Filling
The effect of having a rest is ,free-cs,not being tired,Mapping
The effect of having a rest is ,free-cs,to be relaxed.,Mapping
The effect of going on the stage is ,free-cs,stage fright.,Filling
The effect of going on the stage is ,free-cs,performing.,Filling
The effect of going for a jog is ,free-cs,sweating.,Filling
The effect of going for a jog is ,free-cs,getting exercise.,Mapping
The effect of getting a good grade is ,free-cs,satisfaction.,Mapping
The effect of getting a good grade is ,free-cs,satisfaction.,Mapping
The effect of fishing is ,free-cs,you catch fish,Mapping
The effect of fishing is ,free-cs,catching fish,Filling
The effect of earning a living is ,free-cs,paying bills,Mapping
The effect of earning a living is ,free-cs,paying bills,Mapping
The effect of competing is ,free-cs,someone wins.,Mapping
The effect of competing is ,free-cs,trying harder.,Filling
The effect of ,free-cs,lighting a match is fire,Filling
The effect of ,free-cs,playing a harp is music,Mapping
Tennis is ,free-cs,a type of sport.,Filling
Tennis is ,free-cs,a kind of sport.,Filling
Steel is ,free-cs,a metal.,Filling
Steel is ,free-cs,hard.,Filling
Steak is ,free-cs,a sort of food.,Filling
Steak is ,free-cs,one cut of meat.,Filling
Somewhere water can be is in ,free-cs,a lake,Filling
Somewhere water can be is in ,free-cs,a puddle,Filling
Somewhere sand can be is in ,free-cs,a desert,Filling
Somewhere sand can be is in ,free-cs,a sandbox,Filling
Somewhere food can be is in ,free-cs,a refrigerator,Filling
Somewhere food can be is in ,free-cs,a grocery store.,Filling
Somewhere food can be ,free-cs,is on the table,Filling
Somewhere food can be ,free-cs,is in the oven,Filling
Somewhere food  can be ,free-cs,is in the kitchen,Filling
Somewhere food  can be ,free-cs,is in your stomach,Filling
Somewhere fish can be ,free-cs,is in an aquarium.,Filling
Somewhere fish can be ,free-cs,is in a river.,Filling
Somewhere a steak  can be ,free-cs,is in the freezer,Filling
Somewhere a steak  can be ,free-cs,is on the grill,Filling
Sometimes wrestling causes ,free-cs,injury.,Filling
Sometimes wrestling causes ,free-cs,erections,Filling
Sometimes winning a baseball game causes ,free-cs,celebration,Mapping
Sometimes winning a baseball game causes ,free-cs,happiness,Mapping
Sometimes watering a plant causes ,free-cs,it to grow,Mapping
Sometimes watering a plant causes ,free-cs,the plant to grow,Mapping
Sometimes watching a television show causes ,free-cs,sleep,Filling
Sometimes watching a television show causes ,free-cs,boredom,Filling
Sometimes washing your car causes ,free-cs,your car to be clean,Mapping
Sometimes washing your car causes ,free-cs,you to get wet.,Mapping
Sometimes washing dirt from between your toes causes ,free-cs,clean feet,Filling
Sometimes washing dirt from between your toes causes ,free-cs,clean toes,Filling
Sometimes telling many people about something causes ,free-cs,a rumor,Mapping
Sometimes telling many people about something causes ,free-cs,a rumor,Mapping
Sometimes taking an examination causes ,free-cs,you to sweat,Mapping
Sometimes taking an examination causes ,free-cs,passing a class,Mapping
Sometimes striking a match causes ,free-cs,fire,Filling
Sometimes striking a match causes ,free-cs,a flame.,Filling
Sometimes staying in bed causes ,free-cs,bed sores.,Filling
Sometimes staying in bed causes ,free-cs,being late to work.,Mapping
Sometimes sleeping at night causes ,free-cs,you to dream,Mapping
Sometimes sleeping at night causes ,free-cs,restfulness.,Filling
Sometimes singing causes ,free-cs,a sore throat.,Filling
Sometimes singing causes ,free-cs,happiness,Filling
Sometimes remembering something causes ,free-cs,pain,Filling
Sometimes remembering something causes ,free-cs,pain,Filling
Sometimes reading causes ,free-cs,ideas,Filling
Sometimes reading causes ,free-cs,ideas,Filling
Sometimes playing basketball causes ,free-cs,sweating.,Filling
Sometimes playing basketball causes ,free-cs,injuries.,Filling
Sometimes paying by check causes ,free-cs,the check to bounce,Filling
Sometimes paying by check causes ,free-cs,delay,Filling
Sometimes listening to music causes ,free-cs,relaxation,Filling
Sometimes listening to music causes ,free-cs,you to fall asleep,Mapping
Sometimes killing someone causes ,free-cs,you to go to jail.,Filling
Sometimes killing someone causes ,free-cs,guilt.,Filling
Sometimes having a rest causes ,free-cs,sleep,Mapping
Sometimes having a rest causes ,free-cs,rejuvination,Mapping
Sometimes going to a concert causes ,free-cs,ringing in the ears,Mapping
Sometimes going to a concert causes ,free-cs,enjoyment.,Mapping
Sometimes giving a gift causes ,free-cs,you to feel good,Mapping
Sometimes giving a gift causes ,free-cs,happiness.,Filling
Sometimes fighting war causes ,free-cs,people to die,Mapping
Sometimes fighting war causes ,free-cs,deaths,Mapping
Sometimes falling causes ,free-cs,injuries.,Filling
Sometimes falling causes ,free-cs,pain,Filling
Sometimes exercise causes ,free-cs,sweat,Filling
Sometimes exercise causes ,free-cs,fitness,Mapping
Sometimes driving your car causes ,free-cs,accident,Mapping
Sometimes driving your car causes ,free-cs,a car crash,Mapping
Sometimes diminishing your own hunger causes ,free-cs,weight gains,Filling
Sometimes diminishing your own hunger causes ,free-cs,weight gains,Filling
Sometimes debating politics causes ,free-cs,anger,Filling
Sometimes debating politics causes ,free-cs,anger,Filling
Sometimes climbing causes ,free-cs,you to fall,Mapping
Sometimes climbing causes ,free-cs,you to fall,Mapping
Sometimes calculating things quickly causes ,free-cs,mistakes,Filling
Sometimes calculating things quickly causes ,free-cs,mistakes,Filling
Sometimes buying a hamburger causes ,free-cs,you to eat,Mapping
Sometimes buying a hamburger causes ,free-cs,one to have less money,Mapping
Sometimes attending a rock concert causes ,free-cs,ringing ears,Filling
Sometimes attending a rock concert causes ,free-cs,hearing loss.,Mapping
Something you need to do before you win a baseball game is ,free-cs,hit the ball,Mapping
Something you need to do before you win a baseball game is ,free-cs,practice.,Mapping
Something you need to do before you watch the evening news is ,free-cs,turn on the television,Turn on the television
Something you need to do before you watch the evening news is ,free-cs,turn on the tv,Turn on the tv
Something you need to do before you walk the dog is ,free-cs,get the leash.,Mapping
Something you need to do before you walk the dog is ,free-cs,put the dog on a leash,Mapping
Something you need to do before you wait your turn is ,free-cs,get into line.,Mapping
Something you need to do before you wait your turn is ,free-cs,stand in a line,Mapping
Something you need to do before you visit other countries is ,free-cs,to get a passport,Mapping
Something you need to do before you visit other countries is ,free-cs,get a passport,Mapping
Something you need to do before you take an exam is ,free-cs,study,Mapping
Something you need to do before you take an exam is ,free-cs,to learn for it,Mapping
Something you need to do before you take a shower is ,free-cs,remove your clothing,Mapping
Something you need to do before you take a shower is ,free-cs,take out your clothes,Mapping
Something you need to do before you take a phone call is ,free-cs,pick up the phone,Mapping
Something you need to do before you take a phone call is ,free-cs,answer the phone,Filling
Something you need to do before you surf the net is ,free-cs,turn on the computer,Mapping
Something you need to do before you surf the net is ,free-cs,have a computer,Mapping
Something you need to do before you stay in bed is ,free-cs,turn off the alarm clock,Mapping
Something you need to do before you stay in bed is ,free-cs,get in bed.,Mapping
Something you need to do before you sleep is ,free-cs,close your eyes,Filling
Something you need to do before you sleep is ,free-cs,go to bed,Mapping
Something you need to do before you sell your new book is ,free-cs,have it published,Mapping
Something you need to do before you sell your new book is ,free-cs,write the book,Mapping
Something you need to do before you see your favorite show is ,free-cs,turn on the TV,Mapping
Something you need to do before you see your favorite show is ,free-cs,turn on the television,Mapping
Something you need to do before you see art is ,free-cs,go to a museum,Mapping
Something you need to do before you see art is ,free-cs,go to the art museum,Mapping
Something you need to do before you see a band is ,free-cs,buy tickets,Mapping
Something you need to do before you see a band is ,free-cs,go to a concert,Mapping
Something you need to do before you score a homer is ,free-cs,hit the ball hard,Mapping
Something you need to do before you score a homer is ,free-cs,be playing baseball,Mapping
Something you need to do before you score a home run is ,free-cs,hit a ball.,Filling
Something you need to do before you score a home run is ,free-cs,be playing baseball,Mapping
Something you need to do before you ride a bike is ,free-cs,sit on a bike,Mapping
Something you need to do before you ride a bike is ,free-cs,put on your helmet.,Mapping
Something you need to do before you rest is ,free-cs,relax,Filling
Something you need to do before you rest is ,free-cs,lay down,Mapping
Something you need to do before you read the newspaper is ,free-cs,get a newspaper.,Mapping
Something you need to do before you read the newspaper is ,free-cs,open it,Mapping
Something you need to do before you read a magazine is ,free-cs,buy a magazine,Mapping
Something you need to do before you read a magazine is ,free-cs,pick it up,Mapping
Something you need to do before you read a book is ,free-cs,buy a book,Mapping
Something you need to do before you read a book is ,free-cs,open it up,Mapping
Something you need to do before you play the piano is ,free-cs,take a lesson,Mapping
Something you need to do before you play the piano is ,free-cs,to learn to play the piano,Mapping
Something you need to do before you play ball is ,free-cs,a ball,Filling
Something you need to do before you play ball is ,free-cs,get a ball,Mapping
Something you need to do before you play a guitar is ,free-cs,to buy a guitar.,Mapping
Something you need to do before you play a guitar is ,free-cs,take lessons,Mapping
Something you need to do before you play a game is ,free-cs,learn the rules,Mapping
Something you need to do before you play a game is ,free-cs,know the rules,Mapping
Something you need to do before you pass a class is ,free-cs,study,Mapping
Something you need to do before you pass a class is ,free-cs,study hard,Mapping
Something you need to do before you make people laugh is ,free-cs,tell a joke,Mapping
Something you need to do before you make people laugh is ,free-cs,be funny,Mapping
Something you need to do before you maintain muscle strength is ,free-cs,work out,Mapping
Something you need to do before you maintain muscle strength is ,free-cs,excercise regularly,Mapping
Something you need to do before you listen is ,free-cs,pay attention,Mapping
Something you need to do before you listen is ,free-cs,stop talking,Mapping
Something you need to do before you laugh at a joke is ,free-cs,listen to a joke.,Mapping
Something you need to do before you laugh at a joke is ,free-cs,understand the joke,Mapping
Something you need to do before you have a shower is ,free-cs,take off your clothes,Mapping
Something you need to do before you have a shower is ,free-cs,remove your clothing,Mapping
Something you need to do before you have a bath is ,free-cs,fill the tub with water.,Fill the tub
Something you need to do before you have a bath is ,free-cs,a bathtub,Filling
Something you need to do before you go to bed is ,free-cs,turn out the lights,Mapping
Something you need to do before you go to bed is ,free-cs,brush my teeth.,Mapping
Something you need to do before you go to an opera is ,free-cs,buy tickets.,Mapping
Something you need to do before you go to an opera is ,free-cs,dress up,Mapping
Something you need to do before you go to a party is ,free-cs,get dressed,Mapping
Something you need to do before you go to a party is ,free-cs,get an invitation.,Mapping
Something you need to do before you go see a play is ,free-cs,buy tickets,Mapping
Something you need to do before you go see a play is ,free-cs,purchase a ticket.,Mapping
Something you need to do before you go for a haircut is ,free-cs,go to a barber,Mapping
Something you need to do before you go for a haircut is ,free-cs,find a barber,Mapping
Something you need to do before you give a gift is ,free-cs,I wrap it.,Filling
Something you need to do before you give a gift is ,free-cs,buy a gift,Mapping
Something you need to do before you get up early is ,free-cs,set your alarm clock.,Filling
Something you need to do before you get up early is ,free-cs,set an alarm,Filling
Something you need to do before you get clean is ,free-cs,take off your clothes,Mapping
Something you need to do before you get clean is ,free-cs,take off your clothes,Mapping
Something you need to do before you eat is ,free-cs,find food.,Filling
Something you need to do before you eat is ,free-cs,prepare food,Mapping
Something you need to do before you eat dinner is ,free-cs,buy food,Mapping
Something you need to do before you eat dinner is ,free-cs,wash your hands.,Mapping
Something you need to do before you eat a cookie is ,free-cs,bake cookies,Mapping
Something you need to do before you eat a cookie is ,free-cs,get a cookie,Mapping
Something you need to do before you drive to work is ,free-cs,get into a car.,Mapping
Something you need to do before you drive to work is ,free-cs,start the car.,Filling
Something you need to do before you drive is ,free-cs,get in the car.,Mapping
Something you need to do before you drive is ,free-cs,start the car,Filling
Something you need to do before you dream is ,free-cs,sleep.,Mapping
